,满意度水平,绩效评估,参加项目数,平均每月工时,工作年限,是否有工作事故,五年内是否晋升,职业,薪水,计数,db_labels,km_labels
0,0.38,0.53,2,157,3,0,0,sales,low,1,员工类1,员工类1
1,0.8,0.86,5,262,6,0,0,sales,medium,1,员工类3,员工类3
2,0.11,0.88,7,272,4,0,0,sales,medium,1,员工类2,员工类2
3,0.72,0.87,5,223,5,0,0,sales,low,1,员工类3,员工类3
4,0.37,0.52,2,159,3,0,0,sales,low,1,员工类1,员工类1
5,0.41,0.5,2,153,3,0,0,sales,low,1,员工类1,员工类1
6,0.1,0.77,6,247,4,0,0,sales,low,1,员工类2,员工类2
7,0.92,0.85,5,259,5,0,0,sales,low,1,员工类3,员工类3
8,0.89,1.0,5,224,5,0,0,sales,low,1,员工类3,员工类3
9,0.42,0.53,2,142,3,0,0,sales,low,1,员工类1,员工类1
10,0.45,0.54,2,135,3,0,0,sales,low,1,员工类1,员工类1
11,0.11,0.81,6,305,4,0,0,sales,low,1,员工类2,员工类2
12,0.84,0.92,4,234,5,0,0,sales,low,1,员工类3,员工类3
13,0.41,0.55,2,148,3,0,0,sales,low,1,员工类1,员工类1
14,0.36,0.56,2,137,3,0,0,sales,low,1,员工类1,员工类1
15,0.38,0.54,2,143,3,0,0,sales,low,1,员工类1,员工类1
16,0.45,0.47,2,160,3,0,0,sales,low,1,员工类1,员工类1
17,0.78,0.99,4,255,6,0,0,sales,low,1,员工类3,员工类3
18,0.45,0.51,2,160,3,1,1,sales,low,1,员工类1,员工类1
19,0.76,0.89,5,262,5,0,0,sales,low,1,员工类3,员工类3
20,0.11,0.83,6,282,4,0,0,sales,low,1,员工类2,员工类2
21,0.38,0.55,2,147,3,0,0,sales,low,1,员工类1,员工类1
22,0.09,0.95,6,304,4,0,0,sales,low,1,员工类2,员工类2
23,0.46,0.57,2,139,3,0,0,sales,low,1,员工类1,员工类1
24,0.4,0.53,2,158,3,0,0,sales,low,1,员工类1,员工类1
25,0.89,0.92,5,242,5,0,0,sales,low,1,员工类3,员工类3
26,0.82,0.87,4,239,5,0,0,sales,low,1,员工类3,员工类3
27,0.4,0.49,2,135,3,0,0,sales,low,1,员工类1,员工类1
28,0.41,0.46,2,128,3,0,0,accounting,low,1,员工类1,员工类1
29,0.38,0.5,2,132,3,0,0,accounting,low,1,员工类1,员工类1
30,0.09,0.62,6,294,4,0,0,accounting,low,1,员工类2,员工类2
31,0.45,0.57,2,134,3,0,0,hr,low,1,员工类1,员工类1
32,0.4,0.51,2,145,3,0,0,hr,low,1,员工类1,员工类1
33,0.45,0.55,2,140,3,0,0,hr,low,1,员工类1,员工类1
34,0.84,0.87,4,246,6,0,0,hr,low,1,员工类3,员工类3
35,0.1,0.94,6,255,4,0,0,technical,low,1,员工类2,员工类2
36,0.38,0.46,2,137,3,0,0,technical,low,1,员工类1,员工类1
37,0.45,0.5,2,126,3,0,0,technical,low,1,员工类1,员工类1
38,0.11,0.89,6,306,4,0,0,technical,low,1,员工类2,员工类2
39,0.41,0.54,2,152,3,0,0,technical,low,1,员工类1,员工类1
40,0.87,0.88,5,269,5,0,0,technical,low,1,员工类3,员工类3
41,0.45,0.48,2,158,3,0,0,technical,low,1,员工类1,员工类1
42,0.4,0.46,2,127,3,0,0,technical,low,1,员工类1,员工类1
43,0.1,0.8,7,281,4,0,0,technical,low,1,员工类2,员工类2
44,0.09,0.89,6,276,4,0,0,technical,low,1,员工类2,员工类2
45,0.84,0.74,3,182,4,0,0,technical,low,1,杂类,杂类
46,0.4,0.55,2,147,3,0,0,support,low,1,员工类1,员工类1
47,0.57,0.7,3,273,6,0,0,support,low,1,杂类,员工类3
48,0.4,0.54,2,148,3,0,0,support,low,1,员工类1,员工类1
49,0.43,0.47,2,147,3,0,0,support,low,1,员工类1,员工类1
50,0.13,0.78,6,152,2,0,0,support,low,1,杂类,杂类
51,0.44,0.55,2,135,3,0,0,support,low,1,员工类1,员工类1
52,0.38,0.55,2,134,3,0,0,support,low,1,员工类1,员工类1
53,0.39,0.54,2,132,3,0,0,support,low,1,员工类1,员工类1
54,0.1,0.92,7,307,4,0,0,support,low,1,员工类2,员工类2
55,0.37,0.46,2,140,3,0,0,support,low,1,员工类1,员工类1
56,0.11,0.94,7,255,4,0,0,support,low,1,员工类2,员工类2
57,0.1,0.81,6,309,4,0,0,technical,low,1,员工类2,员工类2
58,0.38,0.54,2,128,3,0,0,technical,low,1,员工类1,员工类1
59,0.85,1.0,4,225,5,0,0,technical,low,1,员工类3,员工类3
60,0.85,0.91,5,226,5,0,0,management,medium,1,员工类3,员工类3
61,0.11,0.93,7,308,4,0,0,IT,medium,1,员工类2,员工类2
62,0.1,0.95,6,244,5,0,0,IT,medium,1,员工类2,员工类2
63,0.36,0.56,2,132,3,0,0,IT,medium,1,员工类1,员工类1
64,0.11,0.94,6,286,4,0,0,IT,medium,1,员工类2,员工类2
65,0.81,0.7,6,161,4,0,0,IT,medium,1,杂类,杂类
66,0.43,0.54,2,153,3,0,0,product_mng,medium,1,员工类1,员工类1
67,0.9,0.98,4,264,6,0,0,product_mng,medium,1,员工类3,员工类3
68,0.76,0.86,5,223,5,1,0,product_mng,medium,1,员工类3,员工类3
69,0.43,0.5,2,135,3,0,0,product_mng,medium,1,员工类1,员工类1
70,0.74,0.99,2,277,3,0,0,IT,medium,1,杂类,杂类
71,0.09,0.77,5,275,4,0,0,product_mng,medium,1,员工类2,员工类2
72,0.45,0.49,2,149,3,0,0,product_mng,high,1,员工类1,员工类1
73,0.09,0.87,7,295,4,0,0,product_mng,low,1,员工类2,员工类2
74,0.11,0.97,6,277,4,0,0,product_mng,medium,1,员工类2,员工类2
75,0.11,0.79,7,306,4,0,0,product_mng,medium,1,员工类2,员工类2
76,0.1,0.83,6,295,4,0,0,product_mng,medium,1,员工类2,员工类2
77,0.4,0.54,2,137,3,0,0,marketing,medium,1,员工类1,员工类1
78,0.43,0.56,2,157,3,0,0,sales,low,1,员工类1,员工类1
79,0.39,0.56,2,142,3,0,0,accounting,low,1,员工类1,员工类1
80,0.45,0.54,2,140,3,0,0,support,low,1,员工类1,员工类1
81,0.38,0.49,2,151,3,0,0,technical,low,1,员工类1,员工类1
82,0.79,0.59,4,139,3,0,1,management,low,1,杂类,杂类
83,0.84,0.85,4,249,6,0,0,marketing,low,1,员工类3,员工类3
84,0.11,0.77,6,291,4,0,0,marketing,low,1,员工类2,员工类2
85,0.11,0.87,6,305,4,0,0,marketing,low,1,员工类2,员工类2
86,0.17,0.84,5,232,3,0,0,sales,low,1,杂类,员工类2
